question,correct_answer,choice_1,choice_2,choice_3
What does Au stand for in the periodic table?,Gold,Silver,Copper,Aluminium
Which of these mountains in Europe is the highest?,"Mount Elbrus, Russia","Mont Blanc, France","Mount Olympus, Greece","Mount Bazardüzü, Azerbaijan"
What is the most sold flavour of Walker’s crisps?,Cheese & Onion,Salt & Vinegar,Prawn Cocktail,Smokey Bacon
"In 1999, who won the BBC Sport Personality of the Century Award?",Muhammad Ali,Pelé,George Best,Jesse Owens
Which colour pill does Neo swallow in The Matrix?,Red,Blue,Green,Purple
How many spice options are there at Nando's?,6,5,7,8
What is the busiest airport in Britain called?,London Heathrow,London Stansted,London Gatwick,RAF Northolt
Which one of these action heroes has appeared in the TV sitcom Friends?,Bruce Willis,Arnold Schwarzenegger,Sylvester Stallone,Dolph Lundgren
How many keys are there on a piano?,88,66,77,99
How many hearts does an octopus have?,3,8,5,24
