quote,film,year,imdb page,similar_film_1,similar_film_2,similar_film_3,reworded_quote
"Greed, for lack of a better word, is good.",Wall Street,1987,https://www.imdb.com/title/tt0094291/,Margin Call,JFK,Fatal Attraction,"Selfishness, for scarcity of an improved vocabulary is prosperity."
I'm going to make him an offer he can't refuse.,The Godfather,1972,https://www.imdb.com/title/tt0068646/,Pulp Fiction,Scarface,Schindler's List,I'm planning to give him a bid he can't turn down.
Mama always said life was like a box of chocolates. You never know what you're gonna get.,Forrest Gump,1994,https://www.imdb.com/title/tt0109830/,Saving Private Ryan,The Green Mile,Pulp Fiction,Mother constantly mentioned life is similar to a crate of pudding. You're not ever certain what you'll attain.
The greatest thing you'll ever learn is just to love and be loved in return.,Moulin Rouge!,2001,https://www.imdb.com/title/tt0203009/,Romeo + Juliet,Chicago,The Phantom of the Opera,The best concept of all time you'll understand is simply is to appreciate and be appreciated on arrival.
My conclusion is: Hate is baggage. Life's too short to be pissed off all the time. It's just not worth it.,American History X,1998,https://www.imdb.com/title/tt0120586/,The Usual Suspects,The Silence of the Lambs,One Flew Over the Cuckoo's Nest,My closing thought is: animosity is a burden. Our existance is fleeting for constant exasperation. It's just overrated.
"Frankly, my dear, I don't give a damn.",Gone with the Wind,1939,https://www.imdb.com/title/tt0031381/,Casablanca,Some Like It Hot,Singin' in the Rain,"Candidly, my love, I won't offer a care."
Go ahead. Make my day.,Sudden Impact,1983,https://www.imdb.com/title/tt0086383/,For Your Eyes Only,Scarface,Psycho II,Advance forward. Build my epoch.
You can't handle the truth!,A Few Good Men,1992,https://www.imdb.com/title/tt0104257/,Top Gun,The Firm,Collateral,You can't deal with the facts!
"Do, or do not. There is no try.",Star Wars: Episode V - The Empire Strikes Back,1980,https://www.imdb.com/title/tt0080684/,Star Wars: Episode IV - A New Hope,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VII - The Force Awakens,"Achieve, or achieve not. There is nay attempt."
That wasn't flying! That was... falling with style!,Toy Story,1995,https://www.imdb.com/title/tt0114709/,Up,Wall-e,How to Train Your Dragon,That wasn't soaring! That was... plunging with design!
